Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;2023-01-16;2;9603;100,0;24;24;0;2;99,98;9492;109;54;32;17;6;5;1
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;2023-01-16;3;14375;100,0;24;24;0;28;99,81;10738;3609;684;911;690;1324;1245;79
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;2023-01-16;4;15424;100,0;24;24;0;526;96,59;13128;1770;565;671;387;147;145;2
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;2023-01-16;5;-;0,0;24;24;0;-;-;-;-;-;-;-;-;-;-
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;2023-01-16;Totalt i retning Oslo;24687;66,7;24;24;0;176;99,29;20427;4084;950;995;733;1406;1325;81
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;2023-01-16;Totalt i retning Vinterbru;25036;100,0;24;24;0;531;97,88;22622;1883;623;703;404;153;150;3
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-16T00:00+01:00;2023-01-17T00:00+01:00;2023-01-16;Totalt;49723;80,0;24;24;0;707;98,58;43049;5967;1573;1698;1137;1559;1475;84
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;2023-01-17;1;10186;100,0;24;24;0;60;99,41;9593;533;286;97;62;88;86;2
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;2023-01-17;2;9813;100,0;24;24;0;3;99,97;9699;111;49;40;19;3;3;0
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;2023-01-17;3;14115;100,0;24;24;0;57;99,60;10408;3650;602;912;683;1453;1349;104
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;2023-01-17;4;15379;100,0;24;24;0;511;96,68;12934;1934;612;688;463;171;166;5
68234V443152;Taraldrud;EV6 S14D1 m7727;2023-01-17T00:00+01:00;2023-01-18T00:00+01:00;2023-01-17;5;-;0,0;24;24;0;-;-;-;-;-;-;-;-;-;-
