Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-10T00:00+01:00;2022-02-11T00:00+01:00;2022-02-10;2;8502;100,0;24;24;0;0;100,00;7994;508;336;67;38;67;65;2
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-10T00:00+01:00;2022-02-11T00:00+01:00;2022-02-10;3;15302;100,0;24;24;0;1;99,99;10845;4456;816;1294;398;1948;1873;75
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-10T00:00+01:00;2022-02-11T00:00+01:00;2022-02-10;4;15350;100,0;24;24;0;2;99,99;11036;4312;826;1223;453;1810;1746;64
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-10T00:00+01:00;2022-02-11T00:00+01:00;2022-02-10;5;9;100,0;24;24;0;0;100,00;9;0;0;0;0;0;0;0
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-10T00:00+01:00;2022-02-11T00:00+01:00;2022-02-10;6;17;100,0;24;24;0;1;94,12;12;4;0;1;3;0;0;0
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-10T00:00+01:00;2022-02-11T00:00+01:00;2022-02-10;Totalt i retning Akershus grense;27543;100,0;24;24;0;2;99,99;22253;5288;1324;1443;443;2078;1999;79
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-10T00:00+01:00;2022-02-11T00:00+01:00;2022-02-10;Totalt i retning Karihaugen;23869;100,0;24;24;0;3;99,99;19042;4824;1162;1291;494;1877;1811;66
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-10T00:00+01:00;2022-02-11T00:00+01:00;2022-02-10;Totalt;51412;100,0;24;24;0;5;99,99;41295;10112;2486;2734;937;3955;3810;145
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-11T00:00+01:00;2022-02-12T00:00+01:00;2022-02-11;1;11910;100,0;24;24;0;157;98,68;11028;725;463;122;37;103;97;6
79854V625215;E6 V/KARIHAUGEN;EV6 S17D1 m5998;2022-02-11T00:00+01:00;2022-02-12T00:00+01:00;2022-02-11;2;7870;100,0;24;24;0;1;99,99;7410;459;299;76;21;63;61;2
